alpha,C0,10.0,50.0
0.2,150,759375000.0,243000.0
0.2,165,1222981031.0,391354.0
0.2,175,1641308594.0,525219.0
0.2,185,2166998656.0,693440.0
0.2,200,3200000000.0,1024000.0
0.225,150,168683368.0,131989.0
0.225,165,257655698.0,201607.0
0.225,175,334667508.0,261867.0
0.225,185,428424549.0,335229.0
0.225,200,605836642.0,474048.0
0.25,150,50625000.0,81000.0
0.25,165,74120062.0,118592.0
0.25,175,93789063.0,150063.0
0.25,185,117135062.0,187416.0
0.25,200,160000000.0,256000.0
0.275,150,18910172.0,54323.0
0.275,165,26743260.0,76825.0
0.275,175,33123663.0,95154.0
0.275,185,40541256.0,116463.0
0.275,200,53829230.0,154635.0
0.3,150,8323466.0,38941.0
0.3,165,11436149.0,53503.0
0.3,175,13914262.0,65097.0
0.3,185,16745795.0,78344.0
0.3,200,21715341.0,101594.0
